Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2008-11-06T00:00:00.0/2008-11-07T00:00:00.0;11242.0576;9461.4883;8593.0273;868.4609;12391.1943;5813.8267;2142.5076;3671.3191;2342.9465;0.9809
2008-11-07T00:00:00.0/2008-11-08T00:00:00.0;11266.6045;9424.0762;8419.2549;1004.8217;12006.7295;7374.4927;4672.9487;2701.5435;5235.7432;0.9806
2008-11-08T00:00:00.0/2008-11-09T00:00:00.0;11290.5088;9396.1982;8300.4785;1095.7198;11789.5342;7564.583;6089.5742;1475.0087;7208.7983;0.9806
2008-11-09T00:00:00.0/2008-11-10T00:00:00.0;11313.9307;9322.4766;8364.7246;957.7523;11938.1729;6893.4521;3942.5444;2950.9077;5486.7163;0.9799
2008-11-10T00:00:00.0/2008-11-11T00:00:00.0;11336.6621;9410.8887;8469.1768;941.7123;12141.5703;8462.8809;6316.9438;2145.9368;8174.0234;0.9694
2008-11-11T00:00:00.0/2008-11-12T00:00:00.0;11358.917;9414.1914;8575.0146;839.1776;12350.7656;5938.772;2215.1848;3723.5872;2813.1135;0.9792
2008-11-12T00:00:00.0/2008-11-13T00:00:00.0;11380.543;9457.4609;8605.7344;851.7269;12313.7266;6202.752;2039.0271;4163.7246;2904.6013;0.9788
2008-11-13T00:00:00.0/2008-11-14T00:00:00.0;11401.543;9548.1074;8671.3887;876.7192;12429.6338;7182.936;4163.8389;3019.0969;4698.1367;0.984
2008-11-14T00:00:00.0/2008-11-15T00:00:00.0;11422.0703;9519.7471;8583.0742;936.6719;12267.001;8104.9473;6372.1484;1732.7988;7641.5132;0.9878
2008-11-15T00:00:00.0/2008-11-16T00:00:00.0;11441.9717;9621.6973;8684.0049;937.6926;12437.7852;8227.4229;5715.8018;2511.6211;7224.7749;0.9875
2008-11-16T00:00:00.0/2008-11-17T00:00:00.0;11461.2715;9550.9355;8794.2588;756.6768;12652.2334;7571.0776;4607.1885;2963.8892;6140.1304;0.9771
2008-11-17T00:00:00.0/2008-11-18T00:00:00.0;11480.0869;9543.2881;8497.2461;1046.0417;12123.0566;9127.8301;7873.4438;1254.3866;10189.8965;0.9872
