Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2013-09-01T00:00:00.0/2013-10-01T00:00:00.0;277253;195463.2969;150541.1719;44922.1172;222486.75;142954.3125;78729.1719;64225.1445;115139.5;0.9822
2013-10-01T00:00:00.0/2013-11-01T00:00:00.0;327374.8125;233295;186875.875;46419.1328;260357.7344;152996.9531;71701.9297;81295.0312;98129.5547;0.98
2013-11-01T00:00:00.0/2013-12-01T00:00:00.0;342806.25;250190.9062;206319.3594;43871.5547;283987.1875;205303.2344;135129.5781;70173.6484;183063.9062;0.9795
2013-12-01T00:00:00.0/2014-01-01T00:00:00.0;365160.6875;262192.2188;216205.5781;45986.6328;297076.2812;217822.4688;149599.9844;68222.4844;202476.2812;0.9796
2014-01-01T00:00:00.0/2014-02-01T00:00:00.0;361499.5625;263288.6562;225991.9375;37296.7188;314234.0938;206461.2656;135746.4219;70714.8516;186411.6562;0.9841
2014-02-01T00:00:00.0/2014-03-01T00:00:00.0;309265.5312;225130.125;191621.5625;33508.5625;268943.2188;175321.5781;107122.0859;68199.4922;151858;0.9849
2014-03-01T00:00:00.0/2014-04-01T00:00:00.0;306609.8125;220902.8438;181640.5625;39262.2812;265064.0938;137697.2969;69780.6094;67916.6953;104970.1562;0.9845
2014-04-01T00:00:00.0/2014-05-01T00:00:00.0;251383.0625;178466.75;143946.8438;34519.9023;230240.4844;104813.8984;51884.9336;52928.9648;83325.0781;0.9847
2014-05-01T00:00:00.0/2014-06-01T00:00:00.0;218084.7656;154467.9531;124926.6797;29541.2676;224245.0469;62983.7578;21964.377;41019.3789;40593.0078;0.984
2014-06-01T00:00:00.0/2014-07-01T00:00:00.0;191176.2031;135859.3594;110946.9609;24912.3965;213185.5625;65168.8711;28178.084;36990.7891;53909.8086;0.9839
2014-07-01T00:00:00.0/2014-08-01T00:00:00.0;206526.4844;150455.5625;126649.3438;23806.2188;237489.0625;109894.5312;76371.2031;33523.332;141271.4219;0.9836
2014-08-01T00:00:00.0/2014-09-01T00:00:00.0;241009.2656;172788.0312;140774.1875;32013.8418;235342.2031;135679.4219;88222.2422;47457.1836;145835;0.9821
2014-09-01T00:00:00.0/2014-10-01T00:00:00.0;276906.0312;192451.8906;146805.8906;45646.0117;216672.125;140148.1875;78882.8906;61265.293;114623.7891;0.9847
2014-10-01T00:00:00.0/2014-11-01T00:00:00.0;327095.7188;225300.6406;169301.0625;55999.5742;232542.9219;183623.0312;106243.5938;77379.4297;142648.9062;0.9819
2014-11-01T00:00:00.0/2014-12-01T00:00:00.0;342659.5312;246231.5;199611.25;46620.2422;272877.25;164290.2656;84397.3359;79892.9375;113526.3438;0.9791
2014-12-01T00:00:00.0/2015-01-01T00:00:00.0;365128.9688;264554.9375;219151.8906;45403.0508;300662.1562;185986.625;104773.5391;81213.0938;140572.8594;0.9794
2015-01-01T00:00:00.0/2015-02-01T00:00:00.0;361590.0312;261707.0312;221169.3438;40537.6914;305625.9688;199989.8594;114275.0703;85714.7969;156596.75;0.9654
2015-02-01T00:00:00.0/2015-03-01T00:00:00.0;309473.75;223454.1719;187611.2188;35842.9609;261689.2969;170398.2812;93098.5156;77299.7656;130319.1719;0.9664
2015-03-01T00:00:00.0/2015-04-01T00:00:00.0;306960.2188;220351.8906;183569.375;36782.5156;268006.3438;170226.4531;109125.7891;61100.6641;159331.25;0.9731
2015-04-01T00:00:00.0/2015-05-01T00:00:00.0;251749.0625;176719.1094;141791.6562;34927.457;225733.9375;102404.1641;47093.0859;55311.0781;77905.6641;0.9812
2015-05-01T00:00:00.0/2015-06-01T00:00:00.0;218353.8906;153769.7812;122075.75;31694.0332;217583.7812;60564.7773;19901.8223;40662.9531;36471.3359;0.9834
2015-06-01T00:00:00.0/2015-07-01T00:00:00.0;191226.8125;134744.3594;108180.3672;26563.998;206871.4219;69551.2812;35559.2734;33992.0117;66039.875;0.9834
2015-07-01T00:00:00.0/2015-08-01T00:00:00.0;206342.1406;148553.1562;122198.25;26354.916;227571.125;95017.9453;52136.3516;42881.5977;92669.1641;0.9837
2015-08-01T00:00:00.0/2015-09-01T00:00:00.0;240666.7656;170606.6875;135234.0938;35372.5898;224263.9375;123449.9062;81452.3906;41997.5156;134622.7188;0.9824
2015-09-01T00:00:00.0/2015-10-01T00:00:00.0;276549.25;192392.0625;145721.875;46670.1758;215091.4062;144799.4688;82008.3672;62791.1016;120708.8047;0.9772
2015-10-01T00:00:00.0/2015-11-01T00:00:00.0;326812.25;228092.5156;173777.3594;54315.1445;239876.625;154011.4688;75285.4297;78726.0312;99343.5859;0.9715
2015-11-01T00:00:00.0/2015-12-01T00:00:00.0;342512.3125;245199.0781;197992.5;47206.5859;270093.1875;157239.0938;74735.0859;82504;93688.2266;0.9703
2015-12-01T00:00:00.0/2016-01-01T00:00:00.0;365096.875;258401.2344;206124.7656;52276.4727;279808.5;174932.1719;85157.3125;89774.8594;113729.3984;0.9722
2016-01-01T00:00:00.0/2016-02-01T00:00:00.0;361678.5312;256763.0469;204697.9375;52065.1094;277999.8125;196549.0312;111748.4609;84800.5781;153864.5781;0.9711
2016-02-01T00:00:00.0/2016-03-01T00:00:00.0;320254.6562;229272.5938;190938.0625;38334.5273;265172.6875;163835.8438;84722.6406;79113.2031;120723.1719;0.9697
2016-03-01T00:00:00.0/2016-04-01T00:00:00.0;305870.6875;220857.6719;181013.6406;39844.0352;264790.0625;141619.5938;68423.3906;73196.2031;101511.7578;0.9733
2016-04-01T00:00:00.0/2016-05-01T00:00:00.0;250614.0625;180701.3438;152120.125;28581.2168;246864.9219;111642.8672;67289.3203;44353.5508;109520.0703;0.9815
2016-05-01T00:00:00.0/2016-06-01T00:00:00.0;217529.25;155059.2969;125628.1484;29431.1387;226385.0156;64358.5273;24006.6719;40351.8555;43440.168;0.9834
2016-06-01T00:00:00.0/2016-07-01T00:00:00.0;191083.5156;134156.1406;105496.9219;28659.2168;201282.0312;71138.4297;27648.5098;43489.918;50876.3906;0.9827
